"row","col"
27,1010
8,1016
23,1024
53,1026
23,1028
41,1028
12,1029
25,1029
8,1030
11,1030
23,1031
60,1031
53,1032
23,1033
27,1034
50,1035
52,1035
23,1036
8,1037
50,1037
60,1037
50,1038
23,1039
50,1041
41,1043
54,1047
11,1049
23,1049
8,1050
11,1052
53,1052
23,1055
54,1055
42,1056
42,1060
25,1063
12,1067
60,1067
8,1068
14,1069
23,1069
14,1071
23,1071
12,1072
14,1072
16,1072
18,1072
8,1073
14,1075
23,1075
8,1077
12,1077
50,1077
43,1079
50,1079
21,1081
42,1086
27,1088
41,1090
8,1093
23,1103
8,1105
12,1105
8,1106
23,1107
41,1108
14,1109
14,1111
23,1111
8,1112
14,1113
23,1113
14,1114
16,1114
23,1114
16,1115
17,1115
50,1116
8,1117
16,1118
10,1120
23,1120
50,1121
14,1123
41,1124
50,1125
42,1128
9,1134
23,1134
41,1135
8,1136
42,1137
8,1139
39,1139
23,1143
34,1143
8,1145
54,1145
12,1146
17,1146
8,1149
23,1149
42,1149
60,1149
8,1150
16,1150
17,1150
14,1152
27,1152
39,1152
8,1153
23,1153
14,1154
8,1156
16,1156
17,1156
43,1157
43,1158
16,1159
43,1159
8,1160
50,1160
46,1163
36,1164
43,1165
43,1166
43,1167
41,1168
42,1168
53,1171
44,1173
46,1173
23,1177
41,1184
60,1185
17,1186
61,1186
8,1187
12,1187
17,1187
8,1188
14,1188
23,1188
14,1190
23,1190
16,1191
26,1191
41,1191
54,1191
17,1192
50,1194
60,1194
12,1195
23,1195
53,1197
54,1198
52,1199
53,1202
53,1204
46,1206
41,1207
54,1208
8,1211
23,1223
60,1223
23,1224
44,1224
16,1226
23,1226
53,1226
39,1228
10,1229
16,1229
50,1230
53,1230
8,1231
12,1231
16,1231
23,1231
34,1233
53,1234
54,1237
8,1239
40,1241
41,1242
53,1244
46,1246
53,1246
54,1247
8,1249
46,1254
41,1256
39,1258
64,1258
23,1260
43,1261
53,1261
60,1261
12,1262
43,1262
13,1264
43,1264
43,1265
8,1266
12,1266
22,1266
8,1267
15,1267
23,1267
60,1267
8,1268
50,1268
27,1269
42,1269
50,1269
52,1270
13,1271
42,1272
57,1272
50,1273
54,1273
50,1274
57,1274
4,1279
41,1279
8,1280
4,1283
53,1283
8,1284
31,1288
54,1292
53,1296
14,1297
14,1299
64,1299
14,1300
16,1300
54,1300
8,1301
16,1302
23,1302
4,1304
50,1305
64,1305
12,1307
8,1308
50,1308
54,1308
53,1309
54,1312
4,1315
8,1315
27,1315
4,1318
17,1323
23,1324
5,1329
8,1329
54,1329
14,1330
16,1331
3,1332
8,1332
16,1332
64,1333
10,1334
16,1335
23,1335
53,1335
23,1336
64,1336
14,1338
23,1338
50,1338
57,1338
16,1339
16,1340
23,1340
54,1340
64,1340
20,1342
50,1343
57,1346
50,1347
40,1350
15,1353
42,1354
40,1355
41,1355
40,1356
42,1359
53,1359
53,1368
19,1369
8,1371
13,1371
23,1371
5,1372
13,1372
12,1373
8,1374
16,1374
23,1374
8,1375
42,1375
50,1375
12,1378
13,1378
16,1378
53,1380
23,1381
50,1381
57,1381
43,1384
43,1385
50,1385
57,1386
43,1387
50,1387
43,1388
43,1390
43,1391
1,1393
4,1393
40,1395
41,1402
42,1403
53,1404
14,1407
16,1407
